店名,地區,地址,電話,ID,類別
齊柏林熱狗店 Zeppelin Hot Dog Shop,荃灣,鱟地坊80-84號士林食街B7舖,56267695,77,快餐
齊柏林熱狗店 Zeppelin Hot Dog Shop,西環,堅尼地城士美菲路71-77號嘉輝花園地下B舖,57244744,78,快餐
想甜嚐甜,西環,堅尼地城士美菲路15號地下,59160698,79,甜品
想甜嚐甜,黃大仙,蒲崗村道73號富佑大廈地舖,39564744,80,甜品
Cafe REVOL,佐敦,德成街4-16號富裕臺地下5號舖,37020170,81,Cafe
肥媽小食店,土瓜灣,馬頭圍道216號地舖,93602628,82,小食
Rings Coffee,九龍城,衙前塱道8號地下,97983510,83,Cafe
基隆街五號,旺角,基隆街5號2樓,64914224 (WhatsApp),84,其他
灃美小食,深水埗,元洲街1F號地舖,90645411,85,小食
1/10 One Tenth Coffee,荔枝角,長順街20號時豐中心5樓510號舖,95400923,86,Cafe
Lungo,九龍灣,宏冠道6號鴻力工業中心B座地下B3B號舖,25813118,87,Cafe
喵盒子,牛頭角,偉業街93號發昌集團大廈1樓,98609080,88,Cafe
Coffee Slave,觀塘,鴻圖道43號鴻達工業大廈地下2A號舖,36195788,89,Cafe
Nutmad,觀塘,觀塘道396號毅力工業中心9樓C號舖,22548268,90,Cafe
Cling Juicery,觀塘,偉業街223號宏利金融中心1樓15舖,21539853、94457733 (WhatsApp),91,飲品
小伊甸 Little Eden,觀塘,觀塘道436-446號觀塘工業中心第四期1樓C室,37053143、96855957 (Whatsapp),92,台式
侘寂珈琲,觀塘,觀塘道396號毅力工業中心4樓C室,25111929,93,Cafe
茶理史,尖沙咀,厚福街9號豪華閣地下B號舖,N/A,94,飲品
茶理史,旺角,彌敦道688號旺角中心1期地下G25B1號舖,93442923,95,飲品
茶理史,葵芳,葵富路7號葵涌廣場2樓2007號舖,N/A,96,飲品
AMPERSAND,新蒲崗,爵祿街33號Port 33 1樓107號舖,66067866,97,Cafe
嵐屋,慈雲山,蒲蕙里6-8號蒲蕙樓地下8號舖,23101220,98,日式
Maid Planet メイドプラネット,旺角,豉油街24-26號福泰大廈11樓,21164814,99,Cafe
包販子,太子,通菜街254號地舖,26565605,100,Cafe
柏斯意大利餐廳,粉嶺,聯和墟聯和道1號地舖,26699166,101,西式
醋頭家,元朗,建業街51號地舖,98687716,102,飲品
麵家山下,上水,新康街63號地下D3-D4號舖,64827340,103,日式
雞煲棧,元朗,媽橫路21-43號地下11號舖,21421618,104,火鍋
悠,元朗,鳯攸北街9A昌威大廈28號地舖,35687741,105,日式
Dear Coffee & Bakery,大圍,積運街2-8號海福花園地下22號舖,26820093,106,Cafe
風流居酒屋,大圍,大圍村第3街32號地舖,26409798,107,日式
Let's Jam 一起果醬,西貢,西貢市場街9號地下,27919888,108,Cafe
Let's Jam 一起果醬,尖沙咀,松山道15-17號地下D舖,39565646,109,Cafe
Hushush Ice Cream Coffee,西貢,福民路58-72號高富樓地下33號舖,N/A,110,Cafe
素年,深水埗,福華街191-199號福隆大廈1號地舖,63383719,111,素食
Second Bite,長沙灣,昌華街45號昌暉大廈地下6號舖,39565441,112,西式
The Corner Coffee,灣仔,港灣道2號地下,65643143,113,Cafe
FabCafe Hong Kong,上環,新街10號地舖,70713709,114,Cafe
聚福樓,屯門,青善街28號康景花園地下1號舖,23626968,115,中式
Lucy Coffee & Food,長沙灣,保安道55號美寧中心C座地下C1號舖,55088318,116,Cafe
鄰居,長沙灣,元州街162-188號天悅廣場地下A8號舖,37020958,117,快餐
Coffee Question,長沙灣,褔華街588號地下B舖,61119384,118,Cafe
康瑞甜品,深水埗,荔枝角道323號地舖,90343832,119,甜品
秋香,屯門,青善街38號康景花園地下26-27號舖,2362 6883 (Tel) / 9326 7766 (Whatsapp),120,日式
